season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2021/2022,20211110,1,150,1,1,Bowbar,Pichy,1,1
2021/2022,20211210,2,132,4,1,Bowbar,Helcl,4,4
2021/2022,20211310,3,144,2,1,Bowbar,Vrbic,2,2
2021/2022,20211410,4,144,2,1,Bowbar,Spinda,2,2
2021/2022,20212110,1,107,4,2,Bowbar,Pichy,5,5
2021/2022,20212210,2,148,2,2,Bowbar,Helcl,6,6
2021/2022,20212310,3,174,1,2,Bowbar,Vrbic,3,3
2021/2022,20212410,4,147,3,2,Bowbar,Spinda,5,5
2021/2022,20213110,1,164,2,3,Bowbar,Pichy,7,7
2021/2022,20213210,2,199,1,3,Bowbar,Helcl,7,7
2021/2022,20213310,3,146,4,3,Bowbar,Vrbic,7,7
2021/2022,20213410,4,155,3,3,Bowbar,Spinda,8,8
2021/2022,20214110,1,178,2,4,Bowbar,Pichy,9,9
2021/2022,20214210,2,184,1,4,Bowbar,Helcl,8,8
2021/2022,20214310,3,137,4,4,Bowbar,Vrbic,11,11
2021/2022,20214410,4,160,3,4,Bowbar,Spinda,11,11
2021/2022,20215110,1,156,3,5,Bowbar,Pichy,12,12
2021/2022,20215210,2,160,1,5,Bowbar,Helcl,9,9
2021/2022,20215310,3,126,4,5,Bowbar,Vrbic,15,15
2021/2022,20215410,4,158,2,5,Bowbar,Spinda,13,13
2021/2022,20226110,1,147,3,6,Bowbar,Pichy,15,15
2021/2022,20226210,2,129,4,6,Bowbar,Helcl,13,13
2021/2022,20226310,3,165,2,6,Bowbar,Vrbic,17,17
2021/2022,20226410,4,167,1,6,Bowbar,Spinda,14,14
2021/2022,20227110,1,139,4,7,Bowbar,Pichy,19,19
2021/2022,20227210,2,164,2,7,Bowbar,Helcl,15,15
2021/2022,20227310,3,161,3,7,Bowbar,Vrbic,20,20
2021/2022,20227410,4,219,1,7,Bowbar,Spinda,15,15
2021/2022,20228110,1,136,2,8,Bowbar,Pichy,21,21
2021/2022,20228210,2,154,1,8,Bowbar,Helcl,16,16
2021/2022,20228310,3,131,3,8,Bowbar,Vrbic,23,23
2021/2022,20228410,4,96,4,8,Bowbar,Spinda,19,19
2021/2022,20229110,1,134,1,9,Bowbar,Pichy,22,22
2021/2022,20229210,2,108,2,9,Bowbar,Helcl,18,18
2021/2022,20229310,3,105,3,9,Bowbar,Vrbic,26,26
2021/2022,20229410,4,92,4,9,Bowbar,Spinda,23,23
2021/2022,202210110,1,140,1,10,"Victoria Bowling",Pichy,23,23
2021/2022,202210210,2,86,3,10,"Victoria Bowling",Helcl,21,21
2021/2022,202210310,3,118,2,10,"Victoria Bowling",Vrbic,28,28
2021/2022,202210410,4,74,4,10,"Victoria Bowling",Spinda,27,27
2021/2022,202211110,1,137,2,11,"Victoria Bowling",Pichy,25,25
2021/2022,202211210,2,104,4,11,"Victoria Bowling",Helcl,25,25
2021/2022,202211310,3,145,1,11,"Victoria Bowling",Vrbic,29,29
2021/2022,202211410,4,126,3,11,"Victoria Bowling",Spinda,30,30
2021/2022,202212110,1,102,3,12,"Victoria Bowling",Pichy,28,28
2021/2022,202212210,2,79,4,12,"Victoria Bowling",Helcl,29,29
2021/2022,202212310,3,131,1,12,"Victoria Bowling",Vrbic,30,30
2021/2022,202212410,4,128,2,12,"Victoria Bowling",Spinda,32,32
2021/2022,202213110,1,126,1,13,"Victoria Bowling",Pichy,29,29
2021/2022,202213210,2,118,2,13,"Victoria Bowling",Helcl,31,31
2021/2022,202213310,3,109,4,13,"Victoria Bowling",Vrbic,34,34
2021/2022,202213410,4,112,3,13,"Victoria Bowling",Spinda,35,35
2021/2022,202214110,1,92,4,14,"Victoria Bowling",Pichy,33,33
2021/2022,202214210,2,166,1,14,"Victoria Bowling",Helcl,32,32
2021/2022,202214310,3,99,3,14,"Victoria Bowling",Vrbic,37,37
2021/2022,202214410,4,129,2,14,"Victoria Bowling",Spinda,37,37
2021/2022,202215110,1,117,3,15,"Victoria Bowling",Pichy,36,36
2021/2022,202215210,2,150,1,15,"Victoria Bowling",Helcl,33,33
2021/2022,202215310,3,103,4,15,"Victoria Bowling",Vrbic,41,41
2021/2022,202215410,4,128,2,15,"Victoria Bowling",Spinda,39,39
2021/2022,202216110,1,114,2,16,"Victoria Bowling",Pichy,38,38
2021/2022,202216210,2,138,1,16,"Victoria Bowling",Helcl,34,34
2021/2022,202216310,3,97,4,16,"Victoria Bowling",Vrbic,45,45
2021/2022,202216410,4,107,3,16,"Victoria Bowling",Spinda,42,42
2021/2022,202217110,1,122,3,17,"Victoria Bowling",Pichy,41,41
2021/2022,202217210,2,123,2,17,"Victoria Bowling",Helcl,36,36
2021/2022,202217310,3,111,4,17,"Victoria Bowling",Vrbic,49,49
2021/2022,202217410,4,125,1,17,"Victoria Bowling",Spinda,43,43
2021/2022,202218110,1,149,2,18,Bowbar,Pichy,43,43
2021/2022,202218210,2,142,3,18,Bowbar,Helcl,39,39
2021/2022,202218310,3,172,1,18,Bowbar,Vrbic,50,50
2021/2022,202218410,4,136,4,18,Bowbar,Spinda,47,47
2021/2022,202219110,1,148,3,19,Bowbar,Pichy,46,46
2021/2022,202219210,2,171,2,19,Bowbar,Helcl,41,41
2021/2022,202219310,3,142,4,19,Bowbar,Vrbic,54,54
2021/2022,202219410,4,194,1,19,Bowbar,Spinda,48,48
2021/2022,202220110,1,135,3,20,Bowbar,Pichy,49,49
2021/2022,202220210,2,180,1,20,Bowbar,Helcl,42,42
2021/2022,202220310,3,130,4,20,Bowbar,Vrbic,58,58
2021/2022,202220410,4,144,2,20,Bowbar,Spinda,50,50
2021/2022,202221110,1,93,4,21,"Victoria Bowling",Pichy,53,53
2021/2022,202221210,2,125,2,21,"Victoria Bowling",Helcl,44,44
2021/2022,202221310,3,122,3,21,"Victoria Bowling",Vrbic,61,61
2021/2022,202221410,4,129,1,21,"Victoria Bowling",Spinda,51,51
2021/2022,202222110,1,113,1,22,"Victoria Bowling",Pichy,54,54
2021/2022,202222210,2,113,1,22,"Victoria Bowling",Helcl,45,45
2021/2022,202222310,3,88,3,22,"Victoria Bowling",Vrbic,64,64
2021/2022,202222410,4,86,4,22,"Victoria Bowling",Spinda,55,55
2021/2022,202223110,1,118,4,23,"Victoria Bowling",Pichy,58,58
2021/2022,202223210,2,136,2,23,"Victoria Bowling",Helcl,47,47
2021/2022,202223310,3,124,3,23,"Victoria Bowling",Vrbic,67,67
2021/2022,202223410,4,138,1,23,"Victoria Bowling",Spinda,56,56
2021/2022,202224110,1,122,4,24,"Bowling Smíchov",Pichy,62,62
2021/2022,202224210,2,126,2,24,"Bowling Smíchov",Helcl,49,49
2021/2022,202224310,3,126,2,24,"Bowling Smíchov",Vrbic,69,69
2021/2022,202224410,4,146,1,24,"Bowling Smíchov",Spinda,57,57
2021/2022,202225110,1,113,3,25,"Bowling Smíchov",Pichy,65,65
2021/2022,202225210,2,133,2,25,"Bowling Smíchov",Helcl,51,51
2021/2022,202225310,3,103,4,25,"Bowling Smíchov",Vrbic,73,73
2021/2022,202225410,4,151,1,25,"Bowling Smíchov",Spinda,58,58
2021/2022,202226110,1,119,3,26,"Bowling Smíchov",Pichy,68,68
2021/2022,202226210,2,170,1,26,"Bowling Smíchov",Helcl,52,52
2021/2022,202226310,3,110,4,26,"Bowling Smíchov",Vrbic,77,77
2021/2022,202226410,4,120,2,26,"Bowling Smíchov",Spinda,60,60
2021/2022,202227110,1,89,4,27,"Bowling Smíchov",Pichy,72,72
2021/2022,202227210,2,154,1,27,"Bowling Smíchov",Helcl,53,53
2021/2022,202227310,3,154,1,27,"Bowling Smíchov",Vrbic,78,78
2021/2022,202227410,4,128,3,27,"Bowling Smíchov",Spinda,63,63
2021/2022,202228110,1,91,4,28,"Bowling Smíchov",Pichy,76,76
2021/2022,202228210,2,151,1,28,"Bowling Smíchov",Helcl,54,54
2021/2022,202228310,3,128,2,28,"Bowling Smíchov",Vrbic,80,80
2021/2022,202228410,4,127,3,28,"Bowling Smíchov",Spinda,66,66
2022/2023,202229110,1,86,4,29,"Victoria Bowling",Pichy,80,4
2022/2023,202229210,2,143,1,29,"Victoria Bowling",Helcl,55,1
2022/2023,202229310,3,115,2,29,"Victoria Bowling",Vrbic,82,2
2022/2023,202229410,4,109,3,29,"Victoria Bowling",Spinda,69,3
2022/2023,202230110,1,155,1,30,"Victoria Bowling",Pichy,81,5
2022/2023,202230210,2,117,3,30,"Victoria Bowling",Helcl,58,4
2022/2023,202230310,3,144,2,30,"Victoria Bowling",Vrbic,84,4
2022/2023,202230410,4,115,4,30,"Victoria Bowling",Spinda,73,7
2022/2023,202231110,1,136,2,31,"Victoria Bowling",Pichy,83,7
2022/2023,202231210,2,154,1,31,"Victoria Bowling",Helcl,59,5
2022/2023,202231310,3,126,3,31,"Victoria Bowling",Vrbic,87,7
2022/2023,202231410,4,94,4,31,"Victoria Bowling",Spinda,77,11
2022/2023,202232110,1,127,2,32,"Victoria Bowling",Pichy,85,9
2022/2023,202232210,2,101,4,32,"Victoria Bowling",Helcl,63,9
2022/2023,202232310,3,111,3,32,"Victoria Bowling",Vrbic,90,10
2022/2023,202232410,4,163,1,32,"Victoria Bowling",Spinda,78,12
2022/2023,202233110,1,106,4,33,"Victoria Bowling",Pichy,89,13
2022/2023,202233210,2,143,1,33,"Victoria Bowling",Helcl,64,10
2022/2023,202233310,3,135,2,33,"Victoria Bowling",Vrbic,92,12
2022/2023,202233410,4,113,3,33,"Victoria Bowling",Spinda,81,15
2022/2023,202234110,1,140,2,34,"Victoria Bowling",Pichy,91,15
2022/2023,202234210,2,119,4,34,"Victoria Bowling",Helcl,68,14
2022/2023,202234310,3,167,1,34,"Victoria Bowling",Vrbic,93,13
2022/2023,202234410,4,125,3,34,"Victoria Bowling",Spinda,84,18
2022/2023,202235110,1,106,4,35,"Victoria Bowling",Pichy,95,19
2022/2023,202235210,2,132,2,35,"Victoria Bowling",Helcl,70,16
2022/2023,202235310,3,160,1,35,"Victoria Bowling",Vrbic,94,14
2022/2023,202235410,4,107,3,35,"Victoria Bowling",Spinda,87,21
2022/2023,202236110,1,127,2,36,"Victoria Bowling",Pichy,97,21
2022/2023,202236210,2,172,1,36,"Victoria Bowling",Helcl,71,17
2022/2023,202236310,3,125,3,36,"Victoria Bowling",Vrbic,97,17
2022/2023,202236410,4,121,4,36,"Victoria Bowling",Spinda,91,25
2022/2023,202237110,1,125,3,37,"Bowling v továrně",Pichy,100,24
2022/2023,202237210,2,175,1,37,"Bowling v továrně",Helcl,72,18
2022/2023,202237310,3,135,2,37,"Bowling v továrně",Vrbic,99,19
2022/2023,202237410,4,108,4,37,"Bowling v továrně",Spinda,95,29
2022/2023,202238110,1,105,3,38,"Bowling v továrně",Pichy,103,27
2022/2023,202238210,2,122,1,38,"Bowling v továrně",Helcl,73,19
2022/2023,202238310,3,94,4,38,"Bowling v továrně",Vrbic,103,23
2022/2023,202238410,4,113,2,38,"Bowling v továrně",Spinda,97,31
2022/2023,202239110,1,96,4,39,"Victoria Bowling",Pichy,107,31
2022/2023,202239210,2,134,1,39,"Victoria Bowling",Helcl,74,20
2022/2023,202239310,3,108,2,39,"Victoria Bowling",Vrbic,105,25
2022/2023,202239410,4,105,3,39,"Victoria Bowling",Spinda,100,34
2022/2023,202240110,1,92,3,40,"Victoria Bowling",Pichy,110,34
2022/2023,202240210,2,140,1,40,"Victoria Bowling",Helcl,75,21
2022/2023,202240310,3,86,4,40,"Victoria Bowling",Vrbic,109,29
2022/2023,202240410,4,118,2,40,"Victoria Bowling",Spinda,102,36
2022/2023,202241110,1,74,4,41,"Victoria Bowling",Pichy,114,38
2022/2023,202241210,2,137,2,41,"Victoria Bowling",Helcl,77,23
2022/2023,202241310,3,104,3,41,"Victoria Bowling",Vrbic,112,32
2022/2023,202241410,4,145,1,41,"Victoria Bowling",Spinda,103,37
2022/2023,202242110,1,92,4,42,"Victoria Bowling",Pichy,118,42
2022/2023,202242210,2,181,1,42,"Victoria Bowling",Helcl,78,24
2022/2023,202242310,3,176,2,42,"Victoria Bowling",Vrbic,114,34
2022/2023,202242410,4,109,3,42,"Victoria Bowling",Spinda,106,40
2022/2023,202243110,1,124,3,43,"Victoria Bowling",Pichy,121,45
2022/2023,202243210,2,211,1,43,"Victoria Bowling",Helcl,79,25
2022/2023,202243310,3,130,2,43,"Victoria Bowling",Vrbic,116,36
2022/2023,202243410,4,118,4,43,"Victoria Bowling",Spinda,110,44
2022/2023,202244110,1,176,1,44,"Bowling Smíchov",Pichy,122,46
2022/2023,202244210,2,136,2,44,"Bowling Smíchov",Helcl,81,27
2022/2023,202244310,3,81,4,44,"Bowling Smíchov",Vrbic,120,40
2022/2023,202244410,4,109,3,44,"Bowling Smíchov",Spinda,113,47
2022/2023,202245110,1,104,3,45,"Bowling Smíchov",Pichy,125,49
2022/2023,202245210,2,95,4,45,"Bowling Smíchov",Helcl,85,31
2022/2023,202245310,3,116,2,45,"Bowling Smíchov",Vrbic,122,42
2022/2023,202245410,4,149,1,45,"Bowling Smíchov",Spinda,114,48
2022/2023,202246110,1,116,4,46,"Xbowling Strašnice",Pichy,129,53
2022/2023,202246210,2,143,2,46,"Xbowling Strašnice",Helcl,87,33
2022/2023,202246310,3,144,1,46,"Xbowling Strašnice",Vrbic,123,43
2022/2023,202246410,4,131,3,46,"Xbowling Strašnice",Spinda,117,51
2022/2023,202247110,1,111,3,47,"Xbowling Strašnice",Pichy,132,56
2022/2023,202247210,2,133,2,47,"Xbowling Strašnice",Helcl,89,35
2022/2023,202247310,3,163,1,47,"Xbowling Strašnice",Vrbic,124,44
2022/2023,202247410,4,109,4,47,"Xbowling Strašnice",Spinda,121,55
2022/2023,202248110,1,73,4,48,"Victoria Bowling",Pichy,136,60
2022/2023,202248210,2,124,2,48,"Victoria Bowling",Helcl,91,37
2022/2023,202248310,3,111,3,48,"Victoria Bowling",Vrbic,127,47
2022/2023,202248410,4,173,1,48,"Victoria Bowling",Spinda,122,56
2022/2023,202249110,1,105,4,49,"Victoria Bowling",Pichy,140,64
2022/2023,202249210,2,224,1,49,"Victoria Bowling",Helcl,92,38
2022/2023,202249310,3,141,3,49,"Victoria Bowling",Vrbic,130,50
2022/2023,202249410,4,148,2,49,"Victoria Bowling",Spinda,124,58
2022/2023,202350110,1,136,2,50,"Xbowling Žižkov",Pichy,142,66
2022/2023,202350210,2,149,1,50,"Xbowling Žižkov",Helcl,93,39
2022/2023,202350310,3,115,4,50,"Xbowling Žižkov",Vrbic,134,54
2022/2023,202350410,4,118,3,50,"Xbowling Žižkov",Spinda,127,61
2022/2023,202351110,1,105,3,51,"Xbowling Žižkov",Pichy,145,69
2022/2023,202351210,2,146,2,51,"Xbowling Žižkov",Helcl,95,41
2022/2023,202351310,3,149,1,51,"Xbowling Žižkov",Vrbic,135,55
2022/2023,202351410,4,95,4,51,"Xbowling Žižkov",Spinda,131,65
2022/2023,202352110,1,101,4,52,"Xbowling Žižkov",Pichy,149,73
2022/2023,202352210,2,129,1,52,"Xbowling Žižkov",Helcl,96,42
2022/2023,202352310,3,115,2,52,"Xbowling Žižkov",Vrbic,137,57
